Transaction ID,Date & Time,Sender UPI ID,Receiver UPI ID,Transaction Amount (INR),Transaction Type,Transaction Status,Bank Name,Mode of Payment,Payment Purpose
TXN100067,2024-12-20 18:20:58,montesjennifer@upi,kristina26@upi,1044.09,Send,Success,Kotak,QR Code,Bill Payment
TXN100068,2025-02-16 13:54:34,sabrina18@upi,benjaminmyers@upi,997.87,Request Money,Failed,Kotak,QR Code,Bill Payment
TXN100069,2024-09-03 10:54:04,stanleyclarke@upi,huberrachel@upi,4943.56,Request Money,Success,Kotak,Intent,Transfer
TXN100070,2024-04-27 16:09:22,bscott@upi,jerryfrank@upi,3402.85,Request Money,Pending,ICICI,Intent,Food
TXN100071,2025-03-21 17:22:51,hhunter@upi,ronaldknight@upi,3178.97,Receive,Pending,Kotak,QR Code,Bill Payment
TXN100072,2025-04-05 13:22:47,wallsrobert@upi,perryeric@upi,1707.7,QR Payment,Failed,SBI,QR Code,Subscription
TXN100073,2024-04-24 01:39:43,ajordan@upi,crawfordmichelle@upi,1291.84,Receive,Failed,Kotak,Phone Number,Transfer
TXN100074,2024-08-16 04:03:37,christian11@upi,heather55@upi,3534.8,Request Money,Success,BOB,UPI ID,Travel
TXN100075,2024-06-20 05:43:44,greerjerry@upi,chad23@upi,4345.79,Send,Success,HDFC,QR Code,Bill Payment
TXN100076,2024-04-13 09:38:05,donnadennis@upi,adkinskelly@upi,1509.24,Request Money,Failed,BOB,QR Code,Subscription
TXN100077,2025-01-04 21:48:10,cantujesse@upi,jacobrodriguez@upi,752.61,Request Money,Failed,Kotak,Intent,Travel
TXN100078,2024-08-23 22:00:44,david35@upi,thomas44@upi,2517.12,Send,Pending,BOB,UPI ID,Transfer
TXN100079,2025-04-11 02:09:52,jack11@upi,eric22@upi,2137.57,Receive,Failed,Kotak,Intent,Subscription
TXN100080,2025-02-18 12:58:13,lesliesanchez@upi,kellybarnes@upi,4863.02,Request Money,Pending,Kotak,QR Code,Subscription
TXN100081,2024-04-30 02:38:36,carolynlong@upi,andersonkevin@upi,4325.24,Send,Pending,SBI,QR Code,Shopping
TXN100082,2024-09-20 23:53:40,brittanyevans@upi,christopher75@upi,2539.22,QR Payment,Failed,SBI,Intent,Subscription
TXN100083,2024-12-15 13:11:40,bennettalan@upi,scott54@upi,1317.42,QR Payment,Failed,Axis Bank,Intent,Bill Payment
TXN100084,2024-10-12 00:29:58,clementslaura@upi,daniel92@upi,827.34,Receive,Success,ICICI,Phone Number,Bill Payment
TXN100085,2025-02-15 03:34:17,lhebert@upi,preynolds@upi,4709.89,Request Money,Failed,HDFC,Intent,Subscription
TXN100086,2024-10-05 05:56:31,sharon25@upi,fwelch@upi,3013.81,Send,Pending,PNB,QR Code,Subscription
TXN100087,2024-10-16 20:04:47,kennethgreer@upi,amontgomery@upi,4933.66,Request Money,Success,Kotak,Intent,Food
TXN100088,2024-07-06 02:15:35,danny48@upi,rogerpotter@upi,2299.82,Send,Failed,BOB,QR Code,Bill Payment
TXN100089,2024-05-18 02:09:58,owolf@upi,bramirez@upi,172.0,Receive,Pending,ICICI,UPI ID,Transfer
TXN100090,2024-05-29 01:44:30,nicole00@upi,raymond96@upi,2750.23,QR Payment,Success,Axis Bank,Intent,Bill Payment
TXN100091,2024-10-01 19:20:16,francismichael@upi,caitlinjohnson@upi,4407.57,Request Money,Pending,PNB,Phone Number,Transfer
TXN100092,2025-02-13 19:41:18,kevin51@upi,pamelagill@upi,630.38,QR Payment,Success,Axis Bank,Phone Number,Transfer
TXN100093,2024-05-08 14:10:54,scallahan@upi,audreyburton@upi,4363.95,Send,Pending,BOB,QR Code,Bill Payment
TXN100094,2024-11-04 12:17:27,jenkinscynthia@upi,yfigueroa@upi,3912.75,Request Money,Failed,BOB,QR Code,Food
TXN100095,2024-07-29 08:23:08,scott92@upi,davidmartinez@upi,1789.2,Send,Success,SBI,Intent,Shopping
TXN100096,2024-09-14 23:07:07,qtaylor@upi,michael76@upi,4506.35,Receive,Success,SBI,Intent,Travel
TXN100097,2024-07-05 19:30:34,gburns@upi,trevor07@upi,1533.5,Send,Success,Axis Bank,Intent,Bill Payment
TXN100098,2024-08-06 17:26:16,juliewilliams@upi,anthonyruiz@upi,4679.42,Request Money,Success,SBI,Intent,Subscription
TXN100099,2025-03-23 05:20:58,mathistiffany@upi,parksjudy@upi,789.22,Send,Failed,Axis Bank,Intent,Bill Payment
TXN100100,2024-12-27 23:06:43,csmith@upi,oliveryvonne@upi,2488.16,QR Payment,Pending,ICICI,UPI ID,Shopping
TXN100101,2025-03-17 05:49:53,jessica32@upi,james67@upi,360.94,QR Payment,Pending,SBI,Phone Number,Shopping
TXN100102,2025-01-15 08:20:08,patrick56@upi,thernandez@upi,897.76,Receive,Failed,SBI,QR Code,Recharge
TXN100103,2024-06-08 10:18:56,david27@upi,kristina66@upi,26.13,Send,Pending,SBI,Phone Number,Shopping
TXN100104,2025-02-19 11:51:33,oprice@upi,scottharris@upi,3450.44,Receive,Success,HDFC,Intent,Bill Payment
TXN100105,2025-01-12 21:09:40,bullockarthur@upi,pittsmichael@upi,2388.7,QR Payment,Success,SBI,QR Code,Shopping
TXN100106,2025-01-25 18:17:19,jesseevans@upi,bushwilliam@upi,1681.72,QR Payment,Failed,Kotak,Phone Number,Recharge
TXN100107,2024-07-31 14:31:59,robert08@upi,fcarpenter@upi,2969.17,Send,Success,Kotak,Phone Number,Recharge
TXN100108,2024-07-20 01:58:19,rlewis@upi,williamsfrancisco@upi,1889.18,Receive,Success,BOB,QR Code,Shopping
TXN100109,2024-04-13 15:37:22,diamond21@upi,mbecker@upi,2546.58,Receive,Success,ICICI,Phone Number,Food
TXN100110,2024-09-13 03:17:32,shawnmorgan@upi,obrienchristopher@upi,3319.35,Receive,Pending,SBI,Intent,Bill Payment
TXN100111,2024-08-14 01:05:09,amanda54@upi,boydjames@upi,3513.83,Receive,Failed,ICICI,Intent,Transfer
TXN100112,2024-05-13 06:14:39,mollyreed@upi,johndaniel@upi,4632.72,Request Money,Failed,PNB,Phone Number,Bill Payment
TXN100113,2024-08-07 04:01:40,zachary64@upi,tcooper@upi,1247.81,QR Payment,Pending,Kotak,UPI ID,Food
TXN100114,2024-07-14 08:07:02,torresandrea@upi,murrayjenny@upi,2049.04,Request Money,Pending,ICICI,Intent,Recharge
TXN100115,2024-04-30 13:56:53,dwerner@upi,fwilson@upi,1864.27,Request Money,Success,HDFC,UPI ID,Shopping
TXN100116,2024-07-14 19:08:17,mckenzieeric@upi,scottjones@upi,569.67,Receive,Pending,Axis Bank,Intent,Recharge
TXN100117,2024-09-24 22:50:15,lwilliams@upi,tracyanderson@upi,3840.53,Request Money,Success,HDFC,Intent,Shopping
TXN100118,2025-03-16 10:40:52,sarah56@upi,hawkinsjustin@upi,4686.15,Receive,Failed,Axis Bank,UPI ID,Food
TXN100119,2024-11-08 06:42:01,jenniferwaters@upi,qherrera@upi,3777.63,QR Payment,Success,BOB,Intent,Travel
TXN100120,2024-07-26 23:49:27,allenmendez@upi,thompsonrobert@upi,2315.43,Receive,Failed,SBI,Phone Number,Travel
TXN100121,2024-07-05 20:01:11,nichole08@upi,htrevino@upi,3049.71,Request Money,Pending,BOB,Intent,Bill Payment
TXN100122,2024-09-08 13:07:22,david95@upi,emilywarner@upi,3394.11,Receive,Pending,BOB,Intent,Shopping
TXN100123,2024-12-24 16:49:35,jeffrey31@upi,emily35@upi,3164.01,Send,Success,ICICI,UPI ID,Bill Payment
TXN100124,2024-12-12 05:39:47,kmitchell@upi,lisatran@upi,1290.31,Request Money,Failed,SBI,Phone Number,Shopping
TXN100125,2024-08-17 11:36:59,brenda02@upi,lmoore@upi,1424.15,Receive,Pending,SBI,UPI ID,Bill Payment
TXN100126,2024-10-27 09:28:36,taylorjamie@upi,shudson@upi,3963.26,QR Payment,Pending,ICICI,UPI ID,Travel
TXN100127,2024-07-04 01:04:53,jessicacabrera@upi,lgomez@upi,4298.67,Receive,Success,Axis Bank,Phone Number,Shopping
TXN100128,2024-06-02 14:52:42,glester@upi,foxmichael@upi,2603.97,Receive,Pending,SBI,Intent,Transfer
TXN100129,2024-10-06 02:02:10,alexander38@upi,donnasimpson@upi,2722.43,QR Payment,Failed,Axis Bank,Phone Number,Travel
TXN100130,2025-01-23 12:18:36,tpayne@upi,greencassandra@upi,3147.77,Receive,Success,PNB,UPI ID,Food
TXN100131,2025-01-10 07:50:54,lorrainefloyd@upi,nacevedo@upi,2012.07,Request Money,Success,Kotak,Phone Number,Shopping
TXN100132,2024-04-27 00:22:41,jessica35@upi,qbarnett@upi,3164.24,Request Money,Success,Axis Bank,Intent,Transfer
TXN100133,2024-12-23 14:56:27,jordanpowers@upi,andre98@upi,2512.82,Request Money,Pending,SBI,Intent,Shopping
TXN100134,2024-05-04 17:48:50,michaelhenry@upi,johnsonbrady@upi,722.63,Request Money,Success,Kotak,QR Code,Bill Payment
TXN100135,2024-07-08 19:53:25,carl05@upi,ntaylor@upi,1783.45,Request Money,Success,BOB,UPI ID,Transfer
TXN100136,2024-10-03 12:11:01,tthomas@upi,debrachandler@upi,4336.88,Request Money,Success,ICICI,UPI ID,Bill Payment
TXN100137,2025-02-11 02:52:49,areyes@upi,amanda70@upi,3108.18,QR Payment,Pending,PNB,Phone Number,Transfer
TXN100138,2024-11-17 11:09:36,ortizpeter@upi,masonchristy@upi,4504.62,Receive,Pending,ICICI,QR Code,Bill Payment
TXN100139,2024-12-25 05:34:40,christopheryoung@upi,johnjohnson@upi,2175.75,QR Payment,Failed,HDFC,Phone Number,Food
TXN100140,2025-02-19 08:19:35,juliamassey@upi,jennifersimmons@upi,3243.54,Request Money,Success,Axis Bank,QR Code,Travel
TXN100141,2025-03-13 22:46:11,oliverstephen@upi,christinawilliams@upi,1587.2,Receive,Success,Axis Bank,Phone Number,Subscription
TXN100142,2024-08-22 06:52:19,cjohnson@upi,sdavis@upi,4917.59,Request Money,Failed,Axis Bank,QR Code,Subscription
TXN100143,2024-12-28 23:41:55,stephenromero@upi,jillsullivan@upi,989.01,Receive,Pending,PNB,UPI ID,Food
TXN100144,2024-07-25 22:35:53,ablackburn@upi,alyssa48@upi,176.06,Send,Success,ICICI,UPI ID,Transfer
TXN100145,2024-10-11 06:08:15,mejiaashley@upi,sarah07@upi,3193.99,Receive,Success,Kotak,Phone Number,Travel
TXN100146,2024-09-12 13:47:04,powelltyler@upi,nelsonwendy@upi,442.28,QR Payment,Failed,Axis Bank,Intent,Bill Payment
TXN100147,2024-07-19 18:12:54,wanda38@upi,paul43@upi,3163.08,Request Money,Pending,Axis Bank,Intent,Shopping
TXN100148,2024-05-27 04:39:53,linda39@upi,francisco25@upi,3523.54,Receive,Failed,ICICI,UPI ID,Bill Payment
TXN100149,2025-03-06 18:49:08,richardsbrett@upi,stephaniecox@upi,272.24,QR Payment,Success,ICICI,UPI ID,Recharge
TXN100150,2024-12-11 03:34:40,marcus69@upi,aarcher@upi,327.81,Request Money,Pending,HDFC,Intent,Travel
TXN100151,2025-02-12 07:22:17,ashleyramos@upi,sarah74@upi,4607.75,Request Money,Success,ICICI,UPI ID,Travel
TXN100152,2025-01-27 08:40:55,chadboyle@upi,stephanie28@upi,4415.33,QR Payment,Failed,Kotak,Intent,Shopping
TXN100153,2024-06-17 02:42:31,hopkinseric@upi,davidcrystal@upi,1284.94,Send,Success,ICICI,UPI ID,Recharge
TXN100154,2024-11-09 04:34:39,rfischer@upi,justin64@upi,4351.04,QR Payment,Success,BOB,QR Code,Shopping
TXN100155,2024-07-21 10:01:18,veronica36@upi,meganbrady@upi,3366.61,QR Payment,Failed,Kotak,Intent,Shopping
TXN100156,2024-06-11 11:19:05,cward@upi,zfields@upi,2415.6,Receive,Success,ICICI,UPI ID,Bill Payment
TXN100157,2025-02-18 10:29:52,rachelcox@upi,erinmccoy@upi,2310.05,Request Money,Success,BOB,Intent,Food
TXN100158,2024-12-11 23:10:14,vsmith@upi,ashleyallen@upi,2307.95,Send,Success,SBI,QR Code,Bill Payment
TXN100159,2024-06-23 01:09:15,cmiller@upi,juliecole@upi,4133.06,Receive,Failed,HDFC,Intent,Travel
TXN100160,2024-10-26 18:47:31,rubiofrank@upi,reillycynthia@upi,394.95,Request Money,Pending,BOB,Intent,Bill Payment
TXN100161,2025-04-12 08:35:14,johnny59@upi,christopher07@upi,4794.99,Receive,Failed,HDFC,QR Code,Subscription
TXN100162,2024-04-16 09:45:09,james66@upi,orowe@upi,4356.75,QR Payment,Failed,Axis Bank,UPI ID,Travel
TXN100163,2024-12-29 13:02:11,cterry@upi,kgomez@upi,4499.13,Receive,Pending,ICICI,Intent,Travel
TXN100164,2024-05-31 09:29:48,mark06@upi,imccall@upi,3027.3,QR Payment,Failed,HDFC,UPI ID,Bill Payment
TXN100165,2024-04-28 07:07:17,knightmichael@upi,jonesjennifer@upi,3078.21,Send,Success,PNB,Intent,Recharge
TXN100166,2024-12-28 21:22:36,bwilliams@upi,philip24@upi,1098.14,Send,Pending,Kotak,Intent,Subscription
TXN100167,2024-09-16 23:35:18,caitlinpowell@upi,william22@upi,258.35,Request Money,Pending,ICICI,UPI ID,Transfer
TXN100168,2025-03-24 21:16:54,reneethornton@upi,blairapril@upi,2827.69,Receive,Pending,PNB,Phone Number,Recharge
TXN100169,2025-02-25 23:01:18,wherring@upi,millergreg@upi,3701.95,Receive,Success,Kotak,Phone Number,Transfer
TXN100170,2024-07-24 06:55:35,laurenmurphy@upi,kimberly87@upi,1643.27,QR Payment,Pending,Axis Bank,Phone Number,Travel
TXN100171,2025-03-31 13:17:38,katherinecole@upi,benjaminrichards@upi,865.2,Send,Pending,Kotak,Phone Number,Shopping
TXN100172,2024-12-17 07:11:08,huangleslie@upi,leekrystal@upi,2931.3,Send,Success,Axis Bank,QR Code,Recharge
TXN100173,2024-12-05 09:26:30,lisaboyd@upi,roberta27@upi,2557.27,Send,Success,BOB,QR Code,Subscription
TXN100174,2025-02-05 18:36:18,stephenslori@upi,aaron11@upi,4576.45,Request Money,Pending,BOB,QR Code,Recharge
TXN100175,2024-09-25 06:16:13,ashley56@upi,vanessa12@upi,3665.48,Receive,Failed,ICICI,QR Code,Transfer
TXN100176,2024-08-13 05:09:09,whitedavid@upi,norma30@upi,2497.35,Send,Pending,BOB,UPI ID,Travel
TXN100177,2024-09-19 20:44:35,halelaura@upi,burkelaura@upi,2984.67,Request Money,Failed,ICICI,UPI ID,Recharge
TXN100178,2024-06-16 10:53:13,samantha16@upi,alexandercassandra@upi,2782.06,Receive,Pending,Axis Bank,Intent,Travel
TXN100179,2024-12-08 23:35:21,emily97@upi,dwhite@upi,1576.58,Send,Failed,HDFC,Intent,Transfer
TXN100180,2025-02-17 18:27:34,james61@upi,cole05@upi,963.42,QR Payment,Failed,Axis Bank,UPI ID,Recharge
TXN100181,2024-04-20 10:23:09,richardvaughn@upi,morriskrystal@upi,201.06,Receive,Failed,BOB,Intent,Transfer
TXN100182,2025-01-26 20:50:26,dalvarez@upi,qgibbs@upi,3631.73,Receive,Failed,ICICI,QR Code,Shopping
TXN100183,2024-04-22 22:35:33,copelandchristopher@upi,stephanie70@upi,94.71,Send,Pending,PNB,QR Code,Shopping
TXN100184,2024-06-11 01:25:38,susan06@upi,eric82@upi,119.72,Send,Success,HDFC,UPI ID,Bill Payment
TXN100185,2024-06-13 12:01:15,kimberlymoore@upi,sherryvilla@upi,1136.62,QR Payment,Success,BOB,UPI ID,Shopping
TXN100186,2024-08-17 15:12:43,webbpamela@upi,pwilliams@upi,4860.75,Request Money,Success,HDFC,Intent,Food
TXN100187,2024-12-15 00:23:59,mark35@upi,frankfisher@upi,718.85,QR Payment,Success,PNB,Phone Number,Transfer
TXN100188,2024-08-31 05:35:04,paultownsend@upi,sarahsmith@upi,4934.11,Request Money,Failed,SBI,Intent,Shopping
TXN100189,2024-09-10 13:42:43,zoesmith@upi,william00@upi,2673.19,Request Money,Success,Kotak,UPI ID,Food
TXN100190,2025-02-07 22:47:09,berrydylan@upi,emilyjames@upi,4770.23,Receive,Success,Kotak,QR Code,Travel
TXN100191,2024-04-22 09:57:48,rgraham@upi,jennifer25@upi,4345.58,Receive,Success,ICICI,QR Code,Subscription
TXN100192,2024-10-27 07:24:25,amandajones@upi,wknight@upi,4143.0,Receive,Success,SBI,QR Code,Transfer
TXN100193,2024-05-19 15:29:01,phuang@upi,zjames@upi,3940.53,Receive,Pending,SBI,Intent,Subscription
TXN100194,2024-07-14 08:58:53,lsanders@upi,houstonwhitney@upi,2993.41,Request Money,Pending,HDFC,UPI ID,Shopping
TXN100195,2025-03-21 20:40:37,amy99@upi,rmcdowell@upi,1707.85,Request Money,Success,PNB,UPI ID,Food
TXN100196,2024-04-27 19:10:15,michelle61@upi,thomasphilip@upi,457.2,QR Payment,Pending,HDFC,Intent,Recharge
TXN100197,2025-02-04 07:24:16,zsimon@upi,tmiddleton@upi,2542.12,Receive,Pending,BOB,Intent,Shopping
TXN100198,2024-10-08 01:25:03,vmartin@upi,ljenkins@upi,1356.5,Request Money,Failed,SBI,Phone Number,Travel
TXN100199,2025-04-03 19:43:54,kathleen15@upi,douglas57@upi,4503.7,Request Money,Success,BOB,Phone Number,Transfer
TXN100200,2024-12-12 22:02:56,gonzalezsusan@upi,jennifernguyen@upi,201.12,Request Money,Pending,SBI,Intent,Shopping
TXN100201,2024-09-06 18:25:25,carterryan@upi,uadams@upi,2485.07,Send,Failed,PNB,UPI ID,Shopping
TXN100202,2024-07-01 23:50:21,dennis19@upi,gabriel69@upi,3406.82,QR Payment,Pending,BOB,QR Code,Subscription
TXN100203,2024-09-13 20:50:32,tjones@upi,stricklandamy@upi,2651.07,QR Payment,Failed,BOB,Phone Number,Recharge
TXN100204,2024-11-13 06:23:16,garyclark@upi,anthonytaylor@upi,588.82,QR Payment,Success,Kotak,Phone Number,Recharge
TXN100205,2024-10-20 14:59:41,rachel94@upi,gabrielle64@upi,4582.64,Receive,Failed,BOB,UPI ID,Travel
TXN100206,2025-03-27 08:49:13,matthewmason@upi,amanda26@upi,4083.63,Receive,Failed,ICICI,Phone Number,Transfer
TXN100207,2025-01-24 10:56:16,jimmy65@upi,gfry@upi,1474.19,Request Money,Failed,Kotak,Intent,Recharge
TXN100208,2024-08-09 01:06:49,gforbes@upi,dylansilva@upi,15.05,Receive,Pending,SBI,Intent,Recharge
TXN100209,2024-12-14 09:17:47,terrydeborah@upi,caitlinmorrison@upi,1713.32,Send,Pending,Axis Bank,Phone Number,Transfer
TXN100210,2024-10-28 13:13:46,adamsjessica@upi,nicholasleon@upi,3064.94,Send,Pending,Axis Bank,Phone Number,Subscription
TXN100211,2024-04-16 05:14:41,staffordlisa@upi,rflores@upi,877.43,Receive,Success,PNB,QR Code,Travel
TXN100212,2024-10-04 22:18:48,breanna47@upi,sandrahoffman@upi,559.17,Request Money,Failed,ICICI,Phone Number,Shopping
TXN100213,2025-02-27 09:57:42,deleonwilliam@upi,anthonyday@upi,78.04,QR Payment,Failed,Kotak,Phone Number,Shopping
